#{"t_start": 1711607050.050625, "env_id": "None"}
r,l,t
279.458214,755,166.922258
307.841713,705,167.248199
311.1871,802,167.621871
245.500257,835,168.048913
254.929127,853,168.422366
314.890794,872,168.836786
246.620791,722,169.181745
306.871176,1061,169.647894
323.060266,736,170.005341
249.10872,724,170.365054
317.971251,848,172.581217
314.509833,848,172.954958
331.305186,705,173.28459
296.43639,830,173.648813
392.242957,1009,174.105
279.989009,754,174.480677
412.060989,914,174.905061
314.875252,721,175.255659
333.723715,828,175.647256
320.374721,730,175.980647
283.738484,692,178.104921
341.196322,738,178.45627
319.272045,848,178.848318
292.947367,783,179.198775
326.210656,721,179.538216
298.922665,763,179.898419
322.727925,810,180.341418
287.277954,823,180.738471
328.338524,874,181.155535
282.447816,780,181.504919
321.80563,833,183.680462
301.684101,715,184.005032
279.642434,827,184.378625
286.437252,647,184.654768
381.43698,936,185.130964
388.933181,827,185.522081
284.364921,682,185.82142
253.376694,757,186.17144
209.975183,696,186.49037
277.340892,680,186.790592
333.643861,768,187.138194
399.865705,774,189.340509
331.329192,835,189.714679
291.349123,865,190.091493
292.665406,762,190.457815
321.875116,701,190.795811
322.74539,802,191.171412
349.040365,819,191.590463
354.024072,779,191.94046
316.81174,793,192.30188
307.118107,770,192.640896
306.251438,802,194.741358
330.784337,686,195.071238
364.271473,793,195.456414
292.637886,693,195.789435
318.103906,779,196.140917
336.786488,763,196.504638
298.424492,787,196.871744
281.678631,742,197.214759
362.612696,844,197.602121
290.893238,700,197.940829
283.627585,871,198.340869
315.724798,751,200.440303
345.407525,822,200.814343
329.566289,748,201.154634
281.923402,760,201.504427
341.591899,870,201.931191
292.958196,659,202.221129
387.196804,863,202.630414
391.878241,838,203.021121
362.235259,918,203.471145
361.393084,769,203.814411
261.05323,708,205.981051
303.447488,715,206.330522
341.087122,855,206.704295
331.932871,889,207.122208
296.252552,665,207.421002
329.719287,802,207.787749
317.825539,691,208.104359
367.953467,749,208.498684
357.025565,811,208.854286
294.893292,735,209.19067
432.714997,843,209.587662
357.692242,865,211.820946
391.50269,914,212.247086
407.244683,934,212.687566
326.991908,622,212.984557
324.343954,798,213.371197
294.09482,761,213.737543
279.885923,665,214.044466
267.143228,755,214.380499
388.532819,903,214.787494
304.494876,782,215.154291
288.245369,774,217.320668
300.578584,762,217.671081
359.385566,896,218.070765
399.512151,742,218.404163
